time,thscode,ths_chg_ratio_m_stock
2014-02-28,601788.SH,0.62189054726369
2014-02-28,000627.SZ,14.107883817427
2014-02-28,600436.SH,-0.31138277015337
2014-02-28,600118.SH,-3.4084950183534
2014-02-28,601669.SH,-2.1739130434782
2014-02-28,601618.SH,-1.2048192771084
2014-02-28,601898.SH,-1.8390804597701
2014-02-28,600739.SH,-1.8181818181818
2014-02-28,300070.SZ,-3.7466307277628
2014-02-28,600516.SH,-2.1037868162693
2014-02-28,600415.SH,2.3636363636364
2014-02-28,601360.SH,-0.23781212841854
2014-02-28,601600.SH,-0.61919504643963
2014-02-28,601668.SH,-5.685618729097
2014-02-28,600406.SH,32.90780141844
2014-02-28,000540.SZ,-6.4516129032258
2014-02-28,000063.SZ,-0.90429540316503
2014-02-28,002050.SZ,6.9444444444444
2014-02-28,600000.SH,-2.835332606325
2014-02-28,600332.SH,-0.36886757654
2014-02-28,600637.SH,-13.450721447787
2014-02-28,300136.SZ,-4.3879907621247
2014-02-28,002415.SZ,3.6775106082037
2014-02-28,600208.SH,0.66666666666667
2014-02-28,601857.SH,1.9893899204244
2014-02-28,600518.SH,-0.98952270081489
2014-02-28,600233.SH,-1.271676300578
2014-02-28,000983.SZ,-9.0150250417362
2014-02-28,600100.SH,-1.3761467889908
2014-02-28,002027.SZ,-10.578105781058
2014-02-28,000002.SZ,-8.9430894308943
2014-02-28,600837.SH,-6.8027210884354
2014-02-28,601225.SH,7.6923076923077
2014-02-28,000938.SZ,-4.1896719714193
2014-02-28,600340.SH,-6.6326530612245
2014-02-28,000671.SZ,-19.247787610619
2014-02-28,002714.SZ,12.129987129987
2014-02-28,600011.SH,-1.2320328542095
2014-02-28,000725.SZ,13.145539906103
2014-02-28,600373.SH,-1.1135857461025
2014-02-28,600008.SH,8.0256821829856
2014-02-28,600704.SH,-14.248704663212
2014-02-28,002608.SZ,-2.2421524663677
2014-02-28,000425.SZ,1.0174418604651
2014-02-28,002493.SZ,10.246913580247
2014-02-28,600804.SH,-9.02394106814
2014-02-28,600588.SH,15.575849822425
2014-02-28,601288.SH,-2.1008403361344
2014-02-28,600061.SH,-3.2414910858995
2014-02-28,000060.SZ,7.9854809437387
2014-02-28,600309.SH,-11.425682507583
2014-02-28,002602.SZ,87.412095639944
2014-02-28,002008.SZ,-1.2987012987013
2014-02-28,600339.SH,14.187643020595
2014-02-28,600109.SH,-10.201401050788
2014-02-28,600170.SH,2.8667790893761
2014-02-28,000895.SZ,-5.9754738015607
2014-02-28,601216.SH,-18.457481872116
2014-02-28,002450.SZ,-0.19230769230768
2014-02-28,600369.SH,-3.3477321814255
2014-02-28,600038.SH,-5.5812300035549
2014-02-28,600219.SH,-1.0121457489879
2014-02-28,300122.SZ,-8.5820895522388
2014-02-28,601800.SH,-2.6178010471204
2014-02-28,300124.SZ,5.8107520649181
2014-02-28,000157.SZ,-0.99009900990098
2014-02-28,002252.SZ,-0.67182410423452
2014-02-28,600023.SH,5.4838709677419
2014-02-28,601018.SH,-3.448275862069
2014-02-28,002558.SZ,0.27173913043477
2014-02-28,600028.SH,20.403587443946
2014-02-28,600068.SH,1.3054830287206
2014-02-28,600606.SH,0.0
2014-02-28,600809.SH,-0.12277470841007
2014-02-28,601688.SH,-5.2009456264776
2014-02-28,000423.SZ,1.2724757952974
2014-02-28,601169.SH,7.5736325385694
2014-02-28,000100.SZ,11.2
2014-02-28,601555.SH,-4.9367088607595
2014-02-28,000630.SZ,-0.6703910614525
2014-02-28,300003.SZ,5.3846153846154
2014-02-28,002142.SZ,0.1132502831257
2014-02-28,600115.SH,0.39525691699604
2014-02-28,600547.SH,14.311704063069
2014-02-28,600674.SH,-0.094428706326723
2014-02-28,600682.SH,2.9177718832891
2014-02-28,000961.SZ,-16.480793060719
2014-02-28,002475.SZ,0.62803311447329
2014-02-28,600705.SH,-0.060350030175015
2014-02-28,600089.SH,4.5406546990496
2014-02-28,002352.SZ,-4.4614691302389
2014-02-28,000413.SZ,-13.049151805133
2014-02-28,600487.SH,-2.2445081184336
2014-02-28,601919.SH,3.8216560509554
2014-02-28,600346.SH,6.5671641791045
2014-02-28,601111.SH,-1.0723860589812
2014-02-28,000623.SZ,-1.9047619047619
2014-02-28,600663.SH,-10.265087422448
2014-02-28,601166.SH,-2.4598930481283
2014-02-28,601328.SH,0.26455026455027
2014-02-28,601238.SH,2.9333333333333
2014-02-28,600177.SH,-0.30120481927711
2014-02-28,000776.SZ,-6.4403829416884
2014-02-28,300072.SZ,-10.941960038059
2014-02-28,600688.SH,27.645051194539
2014-02-28,000839.SZ,17.011128775835
2014-02-28,002625.SZ,7.9631181894384
2014-02-28,600176.SH,8.6158192090396
2014-03-31,300144.SZ,-0.40899795501021
2014-03-31,600029.SH,-2.7027027027027
2014-03-31,600690.SH,-11.013698630137
2014-03-31,601958.SH,-3.1595576619273
2014-03-31,002673.SZ,-5.1020408163265
2014-03-31,600031.SH,-3.304347826087
2014-03-31,002236.SZ,-5.3311258278146
2014-03-31,601988.SH,3.1872509960159
2014-03-31,002385.SZ,-11.499272197962
2014-03-31,000651.SZ,0.9009009009009
2014-03-31,002074.SZ,13.884555382215
2014-03-31,002456.SZ,-12.49220536271
2014-03-31,000826.SZ,-13.284947933102
2014-03-31,600886.SH,13.861386138614
2014-03-31,000786.SZ,4.0899795501022
2014-03-31,601186.SH,4.4776119402985
2014-03-31,000625.SZ,-1.340206185567
2014-03-31,601012.SH,4.4479745830024
