time,thscode,ths_eps_fore_org_num_consensus_stock,ths_fore_eps_median_consensus_stock,ths_fore_roe_median_consensus_stock,ths_fore_np_growth_consensus_stock,ths_np_growth_3y_consensus_stock,ths_rating_org_num_stock,ths_rating_upper_num_stock,ths_rating_lower_num_stock,ths_rating_keep_num_stock,ths_rating_buy_num_stock,ths_rating_in_held_num_stock,ths_rating_neutrality_num_stock,ths_rating_de_held_num_stock,ths_rating_sell_num_stock,ths_target_price_compre_value_stock
2014-01-30,601009.SH,24,1.76,17.065,14.828858420819,17.583647388318,6,,,6,1,5,0,0,0,
2014-01-30,600795.SH,13,0.3746,16.44,4.8794139769257,29.282199629676,6,1,,5,5,1,0,0,0,2.975
2014-01-30,601117.SH,22,0.93,17.5,36.963067964777,32.097389912943,8,,,8,6,2,0,0,0,10
2014-01-30,002304.SZ,17,5.8685,29.3,25.911379398972,21.702160928982,7,,,7,4,1,2,0,0,
2014-01-30,002460.SZ,14,0.29,11.54,42.91418110004,16.940111087032,6,,,6,1,5,0,0,0,22.54
2014-01-30,600352.SH,14,1.1937,17.3,40.209432496895,28.482877294009,6,1,,5,4,2,0,0,0,
2014-01-30,600376.SH,29,1.06,13.53,84.374739828287,12.746261416521,5,,,5,3,2,0,0,0,
2014-01-30,300033.SZ,1,0.2,,145.23372752388,8.7416212936484,,,,,,,,,,
2014-01-30,002044.SZ,1,0.36,,1394.8452440196,43.304246770823,,,,,,,,,,
2014-01-30,600276.SH,24,1.031,19.3,27.496226700187,25.224912169838,11,,,11,5,6,0,0,0,48
2014-01-30,601818.SH,19,0.6374,19.54,14.104629731375,9.096430693231,6,,,5,1,3,2,0,0,2.76
2014-01-30,600221.SH,7,0.26,7.8,81.861046832639,26.476861164672,1,,,1,0,1,0,0,0,
2014-01-30,000783.SZ,18,0.2437,8.95,12.985342214264,-1.5765441794191,3,,,3,2,1,0,0,0,
2014-01-30,000876.SZ,12,1.3546,17.1,38.529627606207,15.777796813915,5,,,5,4,1,0,0,0,18.735
2014-01-30,601866.SH,17,0.03,1.35,119.76816835319,,10,1,,9,1,3,5,1,0,2.06
2014-01-30,600522.SH,19,0.7766,12.03,29.447183638872,22.689044719056,2,,,2,2,0,0,0,0,
2014-01-30,601398.SH,21,0.8045,19.405,7.5495709013967,7.3216896046597,7,,,7,2,5,0,0,0,
2014-01-30,600398.SH,5,0.4247,39.9,818.91899619677,8.2322649378093,4,1,,2,2,2,0,0,0,9.33
2014-01-30,601788.SH,15,0.42,6.07,620.61320328655,0.92903530890287,4,,,4,0,1,3,0,0,
2014-01-30,600436.SH,16,3.47,24.6,28.970157044258,32.635209685115,5,1,,4,3,2,0,0,0,
2014-01-30,600118.SH,20,0.365,9.745,47.517009581592,15.379808423645,8,,1,6,2,5,1,0,0,
2014-01-30,601669.SH,11,0.55,14.2,16.821057067598,10.100531865214,1,,,1,1,0,0,0,0,
2014-01-30,601618.SH,6,0.195,7.2,13.903776444236,12.006853728256,,,,,,,,,,
2014-01-30,601898.SH,17,0.3329,4.74,23.981036535946,35.171269525827,8,1,,7,2,5,1,0,0,5.45
2014-01-30,600739.SH,1,0.9142,10.8,54.41764235475,,1,,,1,1,0,0,0,0,23.26
2014-01-30,300070.SZ,29,1.1071,21.25,42.782325324854,18.356677707015,14,1,,13,8,6,0,0,0,51.125
2014-01-30,600516.SH,3,0.2542,,131.64540530417,11.209609696459,1,,,1,1,0,0,0,0,
2014-01-30,600415.SH,6,0.36,12.1,43.364534483355,,2,,,2,0,2,0,0,0,
2014-01-30,601360.SH,9,0.603,15.5,32.007539589262,18.155468700634,1,,,1,0,1,0,0,0,
2014-01-30,601600.SH,7,-0.07,-11.6,-207.08196943078,44.270353232613,3,,,3,0,0,3,0,0,3.675
2014-01-30,601668.SH,19,0.72,16.35,5.0175491644739,10.48403512647,10,1,1,7,7,3,0,0,0,4.2
2014-01-30,600406.SH,23,0.8032,25.5,26.16826931194,20.362719401674,9,,,9,7,2,0,0,0,19.674
2014-01-30,000540.SZ,8,0.95,26.55,10.807767772281,,2,,,2,0,2,0,0,0,
2014-01-30,000063.SZ,33,0.81,10.4,97.162904900715,9.5755942930381,15,,1,14,11,4,0,0,0,18.6333
2014-01-30,002050.SZ,13,0.5924,13.37,41.84977389494,17.591072148059,5,,,5,2,3,0,0,0,15.12
