positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
资深数据挖掘工程师-用户画像,字节跳动,25k-50k,2019-10-30 23:52:51,62,北京字节跳动科技有限公司,2000人以上,C轮,文娱丨内容,本科,闵行区,
大数据挖掘技术专家-核心广告系统,字节跳动,25k-50k,2019-10-30 23:44:27,62,北京字节跳动科技有限公司,2000人以上,C轮,文娱丨内容,本科,徐汇区,
数据分析与挖掘,易居克而瑞,8k-10k,2019-11-15 09:51:45,9553,易居企业（中国）集团有限公司,500-2000人,上市公司,"移动互联网,消费生活",本科,闸北区,"['闸北公园', '延长路']"
数据分析师,零机科技,15k-30k,2019-11-20 08:57:32,178695,北京至上泽思信息技术有限公司,50-150人,不需要融资,"数据服务,企业服务",本科,黄浦区,"['人民广场', '南京东路', '外滩']"
高级数据分析师,河姆渡电子商务有限公司,18k-30k,2019-11-23 16:38:09,139645,上海河姆渡实业发展有限公司,500-2000人,A轮,电商,本科,浦东新区,"['世纪公园', '花木', '龙阳路地铁']"
数据开发工程师,亚朵集团,20k-30k,2019-11-19 17:21:35,453703,上海亚朵商业管理（集团）股份有限公司,2000人以上,不需要融资,"旅游,消费生活",本科,闵行区,['虹桥']
数据开发工程师,TRADE X （上海）,25k-35k,2019-11-19 10:34:23,581678,天思（上海）国际贸易有限公司,50-150人,不需要融资,"金融,汽车丨出行",本科,徐汇区,['徐家汇']
数据分析师,华鑫股份,10k-20k,2019-11-15 11:33:57,760014,上海华鑫股份有限公司,50-150人,上市公司,"金融,人工智能",本科,徐汇区,"['徐家汇', '岳阳', '龙华']"
数据开发工程师,字节跳动,20k-30k,2019-11-12 15:08:46,62,北京字节跳动科技有限公司,2000人以上,C轮,文娱丨内容,本科,闵行区,
数据分析师,齐数科技（上海）有限公司,15k-20k,2019-11-18 10:22:27,40852,齐数科技（上海）有限公司,50-150人,未融资,"移动互联网,文娱丨内容",本科,徐汇区,"['徐家汇', '漕河泾', '龙华']"
数据分析师,波克科技,11k-22k,2019-11-14 09:46:03,82939753,波克科技股份有限公司,500-2000人,D轮及以上,游戏,本科,普陀区,['长征']
数据分析师（数据运营）,驰骛科技ChiefClouds,10k-20k,2019-11-22 16:58:09,122296,上海驰骛信息科技有限公司,50-150人,A轮,"数据服务,移动互联网",本科,徐汇区,
手游数据分析师,五四互娱,12k-20k,2019-11-22 10:08:32,492325,重庆五四科技（集团）有限公司,150-500人,未融资,游戏,本科,浦东新区,
positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
数据分析师,掌门1对1在线教育,15k-25k,2019-11-13 14:58:50,60054,上海掌小门教育科技有限公司,2000人以上,D轮及以上,"移动互联网,教育",本科,虹口区,"['四平路', '四川北路', '临平路', '虹口足球场']"
数据分析师,百融云创,15k-30k,2019-11-19 17:07:50,73043,百融云创科技股份有限公司,500-2000人,C轮,金融,本科,浦东新区,"['梅园', '陆家嘴', '八佰伴']"
数据分析师,波克科技,10k-15k,2019-11-13 11:20:59,82939753,波克科技股份有限公司,500-2000人,D轮及以上,游戏,本科,普陀区,['长征']
数据科学家,饿了么,35k-70k,2019-11-08 16:29:57,51480,拉扎斯网络科技（上海）有限公司,2000人以上,D轮及以上,消费生活,硕士,普陀区,"['长征', '金沙江路', '长风公园']"
高级数据分析师,Hypers,25k-40k,2019-11-22 14:58:36,24102,上海宏路数据技术股份有限公司,50-150人,上市公司,移动互联网,本科,虹口区,"['四平路', '四川北路', '东宝兴路']"
数据分析师/数据科学家,创略科技,20k-35k,2019-11-22 14:15:24,202989,创络（上海）数据科技有限公司,150-500人,B轮,"数据服务,广告营销",本科,虹口区,
资深数据分析师,沐瞳游戏,25k-45k,2019-11-21 17:55:19,64705,上海沐瞳科技有限公司,500-2000人,不需要融资,游戏,不限,闵行区,"['万源城', '漕宝路', '东兰路']"
资深数据分析师,国泰产险,25k-35k,2019-11-21 16:48:48,172297,国泰财产保险有限责任公司,500-2000人,不需要融资,金融,本科,杨浦区,
数据分析师,掌门集团,20k-35k,2019-11-18 14:34:57,202697,连尚（北京）网络科技有限公司,500-2000人,B轮,"移动互联网,消费生活",本科,浦东新区,
数据分析师,贝壳金服,20k-27k,2019-11-10 16:21:30,168219,贝壳金科控股有限公司,500-2000人,不需要融资,金融,本科,黄浦区,['五里桥']
数据库挖掘工程师,众安保险,25k-40k,2019-11-21 16:16:44,29824,众安在线财产保险股份有限公司,2000人以上,上市公司,金融,本科,虹口区,['北外滩']
数据分析师,掌门1对1在线教育,15k-25k,2019-11-13 14:58:49,60054,上海掌小门教育科技有限公司,2000人以上,D轮及以上,"移动互联网,教育",本科,虹口区,"['四平路', '四川北路', '临平路', '虹口足球场']"
数据分析师,众安保险,25k-35k,2019-11-11 18:21:33,29824,众安在线财产保险股份有限公司,2000人以上,上市公司,金融,本科,黄浦区,
数据科学家（上海）,CraiditX,20k-30k,2019-11-22 16:50:51,110641,上海氪信信息技术有限公司,50-150人,C轮,人工智能,本科,徐汇区,
数据科学家（上海）,CraiditX,17k-30k,2019-11-22 16:50:50,110641,上海氪信信息技术有限公司,50-150人,C轮,人工智能,本科,徐汇区,
positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
